suite,case_id,backend,status,result,expected,elapsed_sec,error_type,error_message,tags,source
growing,mathcounts_075,asp,timeout,,674804,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=75,MATHCOUNTS bag choose
growing,mathcounts_075,essence,timeout,,674804,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=75,MATHCOUNTS bag choose
growing,mathcounts_080,wfomc,solved,904579,904579,0.762036,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=80,MATHCOUNTS bag choose
growing,mathcounts_080,propositionalwfomc,error,,904579,69.175420,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=80,MATHCOUNTS bag choose
growing,mathcounts_080,coso,solved,904579,904579,1.722070,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=80,MATHCOUNTS bag choose
growing,mathcounts_080,asp,timeout,,904579,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=80,MATHCOUNTS bag choose
growing,mathcounts_080,essence,timeout,,904579,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=80,MATHCOUNTS bag choose
growing,mathcounts_085,wfomc,solved,1146475,1146475,1.156449,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=85,MATHCOUNTS bag choose
growing,mathcounts_085,propositionalwfomc,error,,1146475,82.552719,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=85,MATHCOUNTS bag choose
growing,mathcounts_085,coso,solved,1146475,1146475,1.568912,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=85,MATHCOUNTS bag choose
growing,mathcounts_085,asp,timeout,,1146475,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=85,MATHCOUNTS bag choose
growing,mathcounts_085,essence,timeout,,1146475,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=85,MATHCOUNTS bag choose
growing,mathcounts_090,wfomc,solved,1433789,1433789,0.783511,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=90,MATHCOUNTS bag choose
growing,mathcounts_090,propositionalwfomc,error,,1433789,92.974705,GanakError,ganak exited with code 255,mathcounts;bag;choose;count;growing;family=mathcounts;domain=90,MATHCOUNTS bag choose
growing,mathcounts_090,coso,solved,1433789,1433789,1.647499,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=90,MATHCOUNTS bag choose
growing,mathcounts_090,asp,timeout,,1433789,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=90,MATHCOUNTS bag choose
growing,mathcounts_090,essence,timeout,,1433789,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=90,MATHCOUNTS bag choose
growing,mathcounts_095,wfomc,solved,1830519,1830519,0.768965,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=95,MATHCOUNTS bag choose
growing,mathcounts_095,propositionalwfomc,timeout,,1830519,100.105852,TimeoutError,Timed out after 100.000s,mathcounts;bag;choose;count;growing;family=mathcounts;domain=95,MATHCOUNTS bag choose
growing,mathcounts_095,coso,solved,1830519,1830519,1.728292,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=95,MATHCOUNTS bag choose
growing,mathcounts_095,asp,timeout,,1830519,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=95,MATHCOUNTS bag choose
growing,mathcounts_095,essence,timeout,,1830519,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=95,MATHCOUNTS bag choose
growing,mathcounts_100,wfomc,solved,2235025,2235025,0.967733,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=100,MATHCOUNTS bag choose
growing,mathcounts_100,propositionalwfomc,timeout,,2235025,0.000000,SkippedAfterTimeout,Skipped because propositionalwfomc already timed out for this growing family at domain 95; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=100,MATHCOUNTS bag choose
growing,mathcounts_100,coso,solved,2235025,2235025,1.796131,,,mathcounts;bag;choose;count;growing;family=mathcounts;domain=100,MATHCOUNTS bag choose
growing,mathcounts_100,asp,timeout,,2235025,0.000000,SkippedAfterTimeout,Skipped because asp already timed out for this growing family at domain 25; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=100,MATHCOUNTS bag choose
growing,mathcounts_100,essence,timeout,,2235025,0.000000,SkippedAfterTimeout,Skipped because essence already timed out for this growing family at domain 45; timeout budget was 100.000s.,mathcounts;bag;choose;count;growing;family=mathcounts;domain=100,MATHCOUNTS bag choose
growing,fourletter_005,wfomc,solved,18,18,1.041996,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=5,four-letter arrangements
growing,fourletter_005,propositionalwfomc,error,,18,2.220622,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=5,four-letter arrangements
growing,fourletter_005,coso,solved,18,18,0.215677,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=5,four-letter arrangements
growing,fourletter_005,asp,solved,18,18,0.147448,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=5,four-letter arrangements
growing,fourletter_005,essence,solved,18,18,2.068327,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=5,four-letter arrangements
growing,fourletter_010,wfomc,solved,168,168,1.002601,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=10,four-letter arrangements
growing,fourletter_010,propositionalwfomc,error,,168,5.077675,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=10,four-letter arrangements
growing,fourletter_010,coso,solved,168,168,0.213548,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=10,four-letter arrangements
growing,fourletter_010,asp,solved,168,168,0.168104,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=10,four-letter arrangements
growing,fourletter_010,essence,solved,168,168,2.828457,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=10,four-letter arrangements
growing,fourletter_015,wfomc,solved,468,468,1.021706,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=15,four-letter arrangements
growing,fourletter_015,propositionalwfomc,error,,468,8.984719,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=15,four-letter arrangements
growing,fourletter_015,coso,solved,468,468,0.206279,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=15,four-letter arrangements
growing,fourletter_015,asp,solved,468,468,0.273441,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=15,four-letter arrangements
growing,fourletter_015,essence,solved,468,468,3.608877,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=15,four-letter arrangements
growing,fourletter_020,wfomc,solved,918,918,1.257789,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=20,four-letter arrangements
growing,fourletter_020,propositionalwfomc,error,,918,13.629583,GanakError,ganak exited with code 255,fourletter;set;tuple;position;count;growing;family=fourletter;domain=20,four-letter arrangements
growing,fourletter_020,coso,solved,918,918,0.206871,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=20,four-letter arrangements
growing,fourletter_020,asp,solved,918,918,0.714427,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=20,four-letter arrangements
growing,fourletter_020,essence,solved,918,918,5.005377,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=20,four-letter arrangements
growing,fourletter_025,wfomc,solved,1518,1518,1.212779,,,fourletter;set;tuple;position;count;growing;family=fourletter;domain=25,four-letter arrangements
